"items","intext","inname","inconstraint","outtext","outname","outconstraint","goldtext","goldname","goldconstraint","changed","correct","entity_name matched"
"11","margins recurved;","margin",,"margins recurved;","margin","median leaflet","margins recurved;","margin","median leaflet","Y","Y",""
"12","apex aristate, spinescent;","apex",,"apex aristate, spinescent;","apex","median leaflet","apex aristate, spinescent;","apex","median leaflet","Y","Y",""
"13","the mandibles punctured and grooved at their apex, furnished with fine stout teeth;","apex",,"the mandibles punctured and grooved at their apex, furnished with fine stout teeth;","apex","mandible","the mandibles punctured and grooved at their apex, furnished with fine stout teeth;","apex","mandible","Y","Y",""
"14","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","line",,"The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","line","mesothorax","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","line","mesothorax","Y","Y",""
"15","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","base",,"The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","base","mesothorax","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","base","mesothorax","Y","Y",""
"16","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","apex",,"The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","apex","mesothorax","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","apex","mesothorax","Y","Y",""
"17","the legs palest at their base and apex;","base",,"the legs palest at their base and apex;","base","leg","the legs palest at their base and apex;","base","leg","Y","Y",""
"18","the legs palest at their base and apex;","apex",,"the legs palest at their base and apex;","apex","leg","the legs palest at their base and apex;","apex","leg","Y","Y",""
"19","Spores 6.5-7.5 x 5-6 µm, av. 6.9 x 5.5 µm, Q= (1.08) 1.09-1.40 (-1.43), av. 1.26, broadly ellipsoid, reddish-brown in water, thick-walled and with hyaline hilar appendix, lacking an apical pore, multiguttulate, rarely momo- or biguttulate.","appendix",,"Spores 6.5-7.5 x 5-6 µm, av. 6.9 x 5.5 µm, Q= (1.08) 1.09-1.40 (-1.43), av. 1.26, broadly ellipsoid, reddish-brown in water, thick-walled and with hyaline hilar appendix, lacking an apical pore, multiguttulate, rarely momo- or biguttulate.","appendix",,"Spores 6.5-7.5 x 5-6 µm, av. 6.9 x 5.5 µm, Q= (1.08) 1.09-1.40 (-1.43), av. 1.26, broadly ellipsoid, reddish-brown in water, thick-walled and with hyaline hilar appendix, lacking an apical pore, multiguttulate, rarely momo- or biguttulate.","appendix","hilar","Y","N",""
"20","Spores 6.5-7.5 x 5-6 µm, av. 6.9 x 5.5 µm, Q= (1.08) 1.09-1.40 (-1.43), av. 1.26, broadly ellipsoid, reddish-brown in water, thick-walled and with hyaline hilar appendix, lacking an apical pore, multiguttulate, rarely momo- or biguttulate.","pore","apical","Spores 6.5-7.5 x 5-6 µm, av. 6.9 x 5.5 µm, Q= (1.08) 1.09-1.40 (-1.43), av. 1.26, broadly ellipsoid, reddish-brown in water, thick-walled and with hyaline hilar appendix, lacking an apical pore, multiguttulate, rarely momo- or biguttulate.","pore","spore apical","Spores 6.5-7.5 x 5-6 µm, av. 6.9 x 5.5 µm, Q= (1.08) 1.09-1.40 (-1.43), av. 1.26, broadly ellipsoid, reddish-brown in water, thick-walled and with hyaline hilar appendix, lacking an apical pore, multiguttulate, rarely momo- or biguttulate.","pore","spore apical","Y","Y",""
"21","Pileus (3-) 4-10.5 (-12) cm in diameter, globose at first, then hemispherical with truncate margin, finally plano-convex or shallowly depressed in the middle.","margin",,"Pileus (3-) 4-10.5 (-12) cm in diameter, globose at first, then hemispherical with truncate margin, finally plano-convex or shallowly depressed in the middle.","margin","pileus","Pileus (3-) 4-10.5 (-12) cm in diameter, globose at first, then hemispherical with truncate margin, finally plano-convex or shallowly depressed in the middle.","margin","pileus","Y","Y",""
"22","Surface initially entirely silky-fibrillose, white to pale ochraceous, later unchanging or with fibrils coalescing into white triangular, concentrically arranged scales, or pale ochraceous scales on a white background all over the pileus, finally with white, ochre or greyish-brown scales on a whitish to greyish background, confined to the discal area or irregularly distributed all over the pileus, in time or on bruising staining irregularly yellow.","surface",,"Surface initially entirely silky-fibrillose, white to pale ochraceous, later unchanging or with fibrils coalescing into white triangular, concentrically arranged scales, or pale ochraceous scales on a white background all over the pileus, finally with white, ochre or greyish-brown scales on a whitish to greyish background, confined to the discal area or irregularly distributed all over the pileus, in time or on bruising staining irregularly yellow.","surface","pileus","Surface initially entirely silky-fibrillose, white to pale ochraceous, later unchanging or with fibrils coalescing into white triangular, concentrically arranged scales, or pale ochraceous scales on a white background all over the pileus, finally with white, ochre or greyish-brown scales on a whitish to greyish background, confined to the discal area or irregularly distributed all over the pileus, in time or on bruising staining irregularly yellow.","surface","pileus","Y","Y",""
"23","Surface initially entirely silky-fibrillose, white to pale ochraceous, later unchanging or with fibrils coalescing into white triangular, concentrically arranged scales, or pale ochraceous scales on a white background all over the pileus, finally with white, ochre or greyish-brown scales on a whitish to greyish background, confined to the discal area or irregularly distributed all over the pileus, in time or on bruising staining irregularly yellow.","area","discal","Surface initially entirely silky-fibrillose, white to pale ochraceous, later unchanging or with fibrils coalescing into white triangular, concentrically arranged scales, or pale ochraceous scales on a white background all over the pileus, finally with white, ochre or greyish-brown scales on a whitish to greyish background, confined to the discal area or irregularly distributed all over the pileus, in time or on bruising staining irregularly yellow.","area","pileus surface discal","Surface initially entirely silky-fibrillose, white to pale ochraceous, later unchanging or with fibrils coalescing into white triangular, concentrically arranged scales, or pale ochraceous scales on a white background all over the pileus, finally with white, ochre or greyish-brown scales on a whitish to greyish background, confined to the discal area or irregularly distributed all over the pileus, in time or on bruising staining irregularly yellow.","area","pileus surface discal","Y","Y",""
"24","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","margin",,"Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","margin","pileus","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","margin","pileus","Y","Y",""
"25","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","centre",,"Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","center","pileus","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","centre","pileus","Y","Y","not matched"
"26","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","area","marginal","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","area","pileus marginal","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","area","pileus marginal","Y","Y",""
"27","Pileus 2-6 (-8) cm in diameter, initially globose, then hemispherical with truncate margin, finally plano-convex, shallowly depressed or obtusely umbonate at disc.","margin",,"Pileus 2-6 (-8) cm in diameter, initially globose, then hemispherical with truncate margin, finally plano-convex, shallowly depressed or obtusely umbonate at disc.","margin","pileus","Pileus 2-6 (-8) cm in diameter, initially globose, then hemispherical with truncate margin, finally plano-convex, shallowly depressed or obtusely umbonate at disc.","margin","pileus","Y","Y",""
"28","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","band","marginal","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","band","pileus marginal","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","band","pileus marginal","Y","Y",""
"29","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","surface",,"At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","surface","pileus","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","surface","pileus","Y","Y",""
"30","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","margin",,"At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","margin","pileus","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","margin","pileus","Y","Y",""
"31","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","area","discal","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","area","pileus discal","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","area","pileus discal","Y","Y",""
"32","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","margin",,"Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","margin","pileus","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","margin","pileus","Y","Y",""
"33","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","centre",,"Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","center","pileus","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","centre","pileus","Y","Y","not matched"
"34","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","zone","discal","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","zone","pileus discal","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","zone","pileus discal","Y","Y",""
"35","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","area","marginal","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","area","pileus marginal","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","area","pileus marginal","Y","Y",""
"36","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","centre",,"Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","center","pileus","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","centre","pileus","Y","Y","not matched"
"37","Stipe 5-9 x 1-2.5 cm, generally cylindrical or tapered at the base, at times slightly enlarged at the base (subclavate), not bulbous;","base",,"Stipe 5-9 x 1-2.5 cm, generally cylindrical or tapered at the base, at times slightly enlarged at the base (subclavate), not bulbous;","base","stipe","Stipe 5-9 x 1-2.5 cm, generally cylindrical or tapered at the base, at times slightly enlarged at the base (subclavate), not bulbous;","base","stipe","Y","Y",""
"38","Stipe 5-9 x 1-2.5 cm, generally cylindrical or tapered at the base, at times slightly enlarged at the base (subclavate), not bulbous;","base",,"Stipe 5-9 x 1-2.5 cm, generally cylindrical or tapered at the base, at times slightly enlarged at the base (subclavate), not bulbous;","base","stipe","Stipe 5-9 x 1-2.5 cm, generally cylindrical or tapered at the base, at times slightly enlarged at the base (subclavate), not bulbous;","base","stipe","Y","Y",""
"39","annulus generally in the upper third or in median upper half, white to slightly pinkish, smooth above the annulus, white or greyish in age below the annulus, smooth or finely fibrillose, at times with diminutive linear scales concolorous with the pileus around the stipe towards the base.","base",,"annulus generally in the upper third or in median upper half, white to slightly pinkish, smooth above the annulus, white or greyish in age below the annulus, smooth or finely fibrillose, at times with diminutive linear scales concolorous with the pileus around the stipe towards the base.","base","pileus","annulus generally in the upper third or in median upper half, white to slightly pinkish, smooth above the annulus, white or greyish in age below the annulus, smooth or finely fibrillose, at times with diminutive linear scales concolorous with the pileus around the stipe towards the base.","base","pileus","Y","Y",""
"40","Bruised areas strongly rufescent then darkening.","area",,"Bruised areas strongly rufescent then darkening.","area","pileus","Bruised areas strongly rufescent then darkening.","area","stipe","Y","N",""
"41","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","margin",,"Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","margin","pileus","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","margin","pileus","Y","Y",""
"42","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","centre",,"Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","center","pileus","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","centre","pileus","Y","Y","not matched"
"43","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","area","marginal","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","area","pileus marginal","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","area","pileus marginal","Y","Y",""
"44","Length 1 line.-Pale rufo-testaceous, very smooth and shining, with a rufo-fuscous band on the first segment of the abdomen, the basal and apical margins pale.","band",,"Length 1 line.-Pale rufo-testaceous, very smooth and shining, with a rufo-fuscous band on the first segment of the abdomen, the basal and apical margins pale.","band","segment","Length 1 line.-Pale rufo-testaceous, very smooth and shining, with a rufo-fuscous band on the first segment of the abdomen, the basal and apical margins pale.","band","segment","Y","Y",""
"45","Length 1 line.-Pale rufo-testaceous, very smooth and shining, with a rufo-fuscous band on the first segment of the abdomen, the basal and apical margins pale.","margin","basal and apical","Length 1 line.-Pale rufo-testaceous, very smooth and shining, with a rufo-fuscous band on the first segment of the abdomen, the basal and apical margins pale.","margin","segment basal and apical","Length 1 line.-Pale rufo-testaceous, very smooth and shining, with a rufo-fuscous band on the first segment of the abdomen, the basal and apical margins pale.","margin","male worker basal and apical","Y","N",""
"46","Young stems without dark bands or splotches;","band",,"Young stems without dark bands or splotches;","band","stem","Young stems without dark bands or splotches;","band","stem","Y","Y",""
"47","Phyllaries 16–40 in 3–5 series (erect), 1-nerved, (midnerves raised, sometimes brownish and translucent, not keeled), lanceolate to deltate, unequal, pliable to rigid, margins narrowly scarious, dark green zone restricted to narrow bands along midnerves, apices rounded, glabrate to moderately strigose, sometimes strigose distally.","margin",,"Phyllaries 16–40 in 3–5 series (erect), 1-nerved, (midnerves raised, sometimes brownish and translucent, not keeled), lanceolate to deltate, unequal, pliable to rigid, margins narrowly scarious, dark green zone restricted to narrow bands along midnerves, apices rounded, glabrate to moderately strigose, sometimes strigose distally.","margin","phyllary","Phyllaries 16–40 in 3–5 series (erect), 1-nerved, (midnerves raised, sometimes brownish and translucent, not keeled), lanceolate to deltate, unequal, pliable to rigid, margins narrowly scarious, dark green zone restricted to narrow bands along midnerves, apices rounded, glabrate to moderately strigose, sometimes strigose distally.","margin","phyllary","Y","Y",""
