"items","intext","outtext","goldtext","inname","inconstraint","outname","outconstraint","goldname","goldconstraint","changed","correct","entity_name matched"
"12","Median leaflets simple, weakly discolorous, 140-230 mm long, 4.5-6.5 mm wide, inserted at 40-60 degrees to rachis, decurrent for 2-4 mm, narrowed to 3-5 mm at base (to 70-80% of maximum width), 6-9 mm apart on rachis;","Median leaflets simple, weakly discolorous, 140-230 mm long, 4.5-6.5 mm wide, inserted at 40-60 degrees to rachis, decurrent for 2-4 mm, narrowed to 3-5 mm at base (to 70-80% of maximum width), 6-9 mm apart on rachis;","Median leaflets simple, weakly discolorous, 140-230 mm long, 4.5-6.5 mm wide, inserted at 40-60 degrees to rachis, decurrent for 2-4 mm, narrowed to 3-5 mm at base (to 70-80% of maximum width), 6-9 mm apart on rachis;","base",,"base","median leaflet","base","median leaflet","Y","Y",""
"13","median leaflets section slightly keeled;","median leaflets section slightly keeled;","median leaflets section slightly keeled;","section","leaflet","section","leaflet","section","leaflet","N","Y",""
"14","margins recurved;","margins recurved;","margins recurved;","margin",,"margin","median leaflet","margin","median leaflet","Y","Y",""
"15","apex aristate, spinescent;","apex aristate, spinescent;","apex aristate, spinescent;","apex",,"apex","median leaflet","apex","median leaflet","Y","Y",""
"16","the mandibles punctured and grooved at their apex, furnished with fine stout teeth;","the mandibles punctured and grooved at their apex, furnished with fine stout teeth;","the mandibles punctured and grooved at their apex, furnished with fine stout teeth;","apex",,"apex","mandible","apex","mandible","Y","Y",""
"17","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","line",,"line","mesothorax","line","mesothorax","Y","Y",""
"18","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","base",,"base","mesothorax","base","mesothorax","Y","Y",""
"19","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","The mesothorax with a central longitudinal slightly impressed line which extends from base to apex;","apex",,"apex","mesothorax","apex","mesothorax","Y","Y",""
"20","the legs palest at their base and apex;","the legs palest at their base and apex;","the legs palest at their base and apex;","base",,"base","leg","base","leg","Y","Y",""
"21","the legs palest at their base and apex;","the legs palest at their base and apex;","the legs palest at their base and apex;","apex",,"apex","leg","apex","leg","Y","Y",""
"22","Spores 6.5-7.5 x 5-6 µm, av. 6.9 x 5.5 µm, Q= (1.08) 1.09-1.40 (-1.43), av. 1.26, broadly ellipsoid, reddish-brown in water, thick-walled and with hyaline hilar appendix, lacking an apical pore, multiguttulate, rarely momo- or biguttulate.","Spores 6.5-7.5 x 5-6 µm, av. 6.9 x 5.5 µm, Q= (1.08) 1.09-1.40 (-1.43), av. 1.26, broadly ellipsoid, reddish-brown in water, thick-walled and with hyaline hilar appendix, lacking an apical pore, multiguttulate, rarely momo- or biguttulate.","Spores 6.5-7.5 x 5-6 µm, av. 6.9 x 5.5 µm, Q= (1.08) 1.09-1.40 (-1.43), av. 1.26, broadly ellipsoid, reddish-brown in water, thick-walled and with hyaline hilar appendix, lacking an apical pore, multiguttulate, rarely momo- or biguttulate.","appendix",,"appendix","hilar","appendix","hilar","Y","Y",""
"23","Spores 6.5-7.5 x 5-6 µm, av. 6.9 x 5.5 µm, Q= (1.08) 1.09-1.40 (-1.43), av. 1.26, broadly ellipsoid, reddish-brown in water, thick-walled and with hyaline hilar appendix, lacking an apical pore, multiguttulate, rarely momo- or biguttulate.","Spores 6.5-7.5 x 5-6 µm, av. 6.9 x 5.5 µm, Q= (1.08) 1.09-1.40 (-1.43), av. 1.26, broadly ellipsoid, reddish-brown in water, thick-walled and with hyaline hilar appendix, lacking an apical pore, multiguttulate, rarely momo- or biguttulate.","Spores 6.5-7.5 x 5-6 µm, av. 6.9 x 5.5 µm, Q= (1.08) 1.09-1.40 (-1.43), av. 1.26, broadly ellipsoid, reddish-brown in water, thick-walled and with hyaline hilar appendix, lacking an apical pore, multiguttulate, rarely momo- or biguttulate.","pore","apical","pore","spore apical","pore","spore apical","Y","Y",""
"24","Pileus (3-) 4-10.5 (-12) cm in diameter, globose at first, then hemispherical with truncate margin, finally plano-convex or shallowly depressed in the middle.","Pileus (3-) 4-10.5 (-12) cm in diameter, globose at first, then hemispherical with truncate margin, finally plano-convex or shallowly depressed in the middle.","Pileus (3-) 4-10.5 (-12) cm in diameter, globose at first, then hemispherical with truncate margin, finally plano-convex or shallowly depressed in the middle.","margin",,"margin","pileus","margin","pileus","Y","Y",""
"25","Surface initially entirely silky-fibrillose, white to pale ochraceous, later unchanging or with fibrils coalescing into white triangular, concentrically arranged scales, or pale ochraceous scales on a white background all over the pileus, finally with white, ochre or greyish-brown scales on a whitish to greyish background, confined to the discal area or irregularly distributed all over the pileus, in time or on bruising staining irregularly yellow.","Surface initially entirely silky-fibrillose, white to pale ochraceous, later unchanging or with fibrils coalescing into white triangular, concentrically arranged scales, or pale ochraceous scales on a white background all over the pileus, finally with white, ochre or greyish-brown scales on a whitish to greyish background, confined to the discal area or irregularly distributed all over the pileus, in time or on bruising staining irregularly yellow.","Surface initially entirely silky-fibrillose, white to pale ochraceous, later unchanging or with fibrils coalescing into white triangular, concentrically arranged scales, or pale ochraceous scales on a white background all over the pileus, finally with white, ochre or greyish-brown scales on a whitish to greyish background, confined to the discal area or irregularly distributed all over the pileus, in time or on bruising staining irregularly yellow.","surface",,"surface","pileus","surface","pileus","Y","Y",""
"26","Surface initially entirely silky-fibrillose, white to pale ochraceous, later unchanging or with fibrils coalescing into white triangular, concentrically arranged scales, or pale ochraceous scales on a white background all over the pileus, finally with white, ochre or greyish-brown scales on a whitish to greyish background, confined to the discal area or irregularly distributed all over the pileus, in time or on bruising staining irregularly yellow.","Surface initially entirely silky-fibrillose, white to pale ochraceous, later unchanging or with fibrils coalescing into white triangular, concentrically arranged scales, or pale ochraceous scales on a white background all over the pileus, finally with white, ochre or greyish-brown scales on a whitish to greyish background, confined to the discal area or irregularly distributed all over the pileus, in time or on bruising staining irregularly yellow.","Surface initially entirely silky-fibrillose, white to pale ochraceous, later unchanging or with fibrils coalescing into white triangular, concentrically arranged scales, or pale ochraceous scales on a white background all over the pileus, finally with white, ochre or greyish-brown scales on a whitish to greyish background, confined to the discal area or irregularly distributed all over the pileus, in time or on bruising staining irregularly yellow.","area","discal","area","pileus surface discal","area","pileus surface discal","Y","Y",""
"27","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","margin",,"margin","pileus","margin","pileus","Y","Y",""
"28","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","centre",,"centre","pileus","centre","pileus","Y","Y",""
"29","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","area","marginal","area","pileus marginal","area","pileus marginal","Y","Y",""
"30","Pileus 2-6 (-8) cm in diameter, initially globose, then hemispherical with truncate margin, finally plano-convex, shallowly depressed or obtusely umbonate at disc.","Pileus 2-6 (-8) cm in diameter, initially globose, then hemispherical with truncate margin, finally plano-convex, shallowly depressed or obtusely umbonate at disc.","Pileus 2-6 (-8) cm in diameter, initially globose, then hemispherical with truncate margin, finally plano-convex, shallowly depressed or obtusely umbonate at disc.","margin",,"margin","pileus","margin","pileus","Y","Y",""
"31","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","band","marginal","band","pileus marginal","band","pileus marginal","Y","Y",""
"32","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","surface",,"surface","pileus","surface","pileus","Y","Y",""
"33","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","margin",,"margin","pileus surface","margin","pileus","Y","N",""
"34","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","At first, entirely covered with radial, dark reddish-purple, sometimes tinged violaceous, appressed fibrils, except for a narrow marginal band 1-2 mm broad, then, with pileus expansion, the whole surface breaks up into triangular, concentrically-arranged scales on a lighter background, or the margin remains fibrillose, in some basidiomata the more or less triangular scales confined to the discal area.","area","discal","area","pileus surface discal","area","pileus discal","Y","N",""
"35","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","margin",,"margin","pileus","margin","pileus","Y","Y",""
"36","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","centre",,"centre","pileus","centre","pileus","Y","Y",""
"37","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","zone","discal","zone","pileus discal","zone","pileus discal","Y","Y",""
"38","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","area","marginal","area","pileus marginal","area","pileus marginal","Y","Y",""
"39","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","Pileus 2.8-11 cm diam, initially globose, then hemispherical with truncate margin, finally plano-convex to applanate with slightly depressed centre, at first whitish, or ochraceous-greyish to dark greyish-brown, uniformly coloured or with a large, more or less star-shaped, discal zone, and a whitish marginal area, then outside the centre torn into triangular or indefinite, fibrillose, appressed, concentrically-arranged scales on a whitish background, slowly yellowing with age or when rubbed.","centre",,"centre","pileus","centre","pileus","Y","Y",""
"40","Stipe 5-9 x 1-2.5 cm, generally cylindrical or tapered at the base, at times slightly enlarged at the base (subclavate), not bulbous;","Stipe 5-9 x 1-2.5 cm, generally cylindrical or tapered at the base, at times slightly enlarged at the base (subclavate), not bulbous;","Stipe 5-9 x 1-2.5 cm, generally cylindrical or tapered at the base, at times slightly enlarged at the base (subclavate), not bulbous;","base",,"base","stipe","base","stipe","Y","Y",""
"41","Stipe 5-9 x 1-2.5 cm, generally cylindrical or tapered at the base, at times slightly enlarged at the base (subclavate), not bulbous;","Stipe 5-9 x 1-2.5 cm, generally cylindrical or tapered at the base, at times slightly enlarged at the base (subclavate), not bulbous;","Stipe 5-9 x 1-2.5 cm, generally cylindrical or tapered at the base, at times slightly enlarged at the base (subclavate), not bulbous;","base",,"base","stipe","base","stipe","Y","Y",""
"42","annulus generally in the upper third or in median upper half, white to slightly pinkish, smooth above the annulus, white or greyish in age below the annulus, smooth or finely fibrillose, at times with diminutive linear scales concolorous with the pileus around the stipe towards the base.","annulus generally in the upper third or in median upper half, white to slightly pinkish, smooth above the annulus, white or greyish in age below the annulus, smooth or finely fibrillose, at times with diminutive linear scales concolorous with the pileus around the stipe towards the base.","annulus generally in the upper third or in median upper half, white to slightly pinkish, smooth above the annulus, white or greyish in age below the annulus, smooth or finely fibrillose, at times with diminutive linear scales concolorous with the pileus around the stipe towards the base.","base",,"base","pileus","base","stipe","Y","N",""
"43","Bruised areas strongly rufescent then darkening.","Bruised areas strongly rufescent then darkening.","Bruised areas strongly rufescent then darkening.","area",,"area","pileus","area","stipe","Y","N",""
"44","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","margin",,"margin","pileus","margin","pileus","Y","Y",""
"45","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","centre",,"centre","pileus","centre","pileus","Y","Y",""
"46","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","Pileus 6-15 (-18) cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally plano-convex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area;","area","marginal","area","pileus marginal","area","pileus marginal","Y","Y",""
"47","Length 1 line.-Pale rufo-testaceous, very smooth and shining, with a rufo-fuscous band on the first segment of the abdomen, the basal and apical margins pale.","Length 1 line.-Pale rufo-testaceous, very smooth and shining, with a rufo-fuscous band on the first segment of the abdomen, the basal and apical margins pale.","Length 1 line.-Pale rufo-testaceous, very smooth and shining, with a rufo-fuscous band on the first segment of the abdomen, the basal and apical margins pale.","band",,"band","segment","band","segment","Y","Y",""
"48","Length 1 line.-Pale rufo-testaceous, very smooth and shining, with a rufo-fuscous band on the first segment of the abdomen, the basal and apical margins pale.","Length 1 line.-Pale rufo-testaceous, very smooth and shining, with a rufo-fuscous band on the first segment of the abdomen, the basal and apical margins pale.","Length 1 line.-Pale rufo-testaceous, very smooth and shining, with a rufo-fuscous band on the first segment of the abdomen, the basal and apical margins pale.","margin","basal and apical","margin","segment band basal and apical","margin","segment band basal and apical","Y","Y",""
"49","Young stems without dark bands or splotches;","Young stems without dark bands or splotches;","Young stems without dark bands or splotches;","band",,"band","stem","band","stem","Y","Y",""
