"items","intext","outtext","goldtext","inname","inconstraint","outname","outconstraint","goldname","goldconstraint","changed","correct","entity_name matched"
"24","Pileus 6-15-18 cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally planoconvex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area.","Pileus 6-15-18 cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally planoconvex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area.","Pileus 6-15-18 cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally planoconvex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area.","area","marginal","area","pileus marginal","area","pileus marginal","Y","Y",""
"25","Female differs in having bluish gray band on upper breast with narrow whitish band separating this from rufous belly.","Female differs in having bluish gray band on upper breast with narrow whitish band separating this from rufous belly.","Female differs in having bluish gray band on upper breast with narrow whitish band separating this from rufous belly.","band",,"band","upper breast","band","upper breast","Y","Y",""
"26","Female differs in having bluish gray band on upper breast with narrow whitish band separating this from rufous belly.","Female differs in having bluish gray band on upper breast with narrow whitish band separating this from rufous belly.","Female differs in having bluish gray band on upper breast with narrow whitish band separating this from rufous belly.","band",,"band","upper breast","band","upper breast","Y","Y",""
"27","Tail with 4 straight alternating bands of dark and light-brown or blue gray in adults;","Tail with 4 straight alternating bands of dark and light-brown or blue gray in adults;","Tail with 4 straight alternating bands of dark and light-brown or blue gray in adults;","band",,"band","tail","band","tail","Y","Y",""
"28","brown tail bands in immatures.","brown tail bands in immatures.","brown tail bands in immatures.","band","tail","band","tail","band","tail","N","Y",""
"29","Puncta orientated in a closed (or sometimes partial) ring in the central area of the valve face.","Puncta orientated in a closed (or sometimes partial) ring in the central area of the valve face.","Puncta orientated in a closed (or sometimes partial) ring in the central area of the valve face.","area","central","area","valve face central","area","valve face central","Y","Y",""
"30","Puncta orientated in a closed (or sometimes partial) ring in the central area of the valve face.","Puncta orientated in a closed (or sometimes partial) ring in the central area of the valve face.","Puncta orientated in a closed (or sometimes partial) ring in the central area of the valve face.","face","valve","face","valve","face","valve","N","Y",""
"31","The striation fine with circular hyaline bands crossing the costae.","The striation fine with circular hyaline bands crossing the costae.","The striation fine with circular hyaline bands crossing the costae.","band",,"band","striation","band","striation","Y","Y",""
"32","Buccal cavity large and narrow divided in two parts by a sclerotized transverse band, three teeth of which one ventrosublateral the largest.","Buccal cavity large and narrow divided in two parts by a sclerotized transverse band, three teeth of which one ventrosublateral the largest.","Buccal cavity large and narrow divided in two parts by a sclerotized transverse band, three teeth of which one ventrosublateral the largest.","cavity","buccal","cavity","buccal","cavity","buccal","N","Y",""
"33","Buccal cavity large and narrow divided in two parts by a sclerotized transverse band, three teeth of which one ventrosublateral the largest.","Buccal cavity large and narrow divided in two parts by a sclerotized transverse band, three teeth of which one ventrosublateral the largest.","Buccal cavity large and narrow divided in two parts by a sclerotized transverse band, three teeth of which one ventrosublateral the largest.","part",,"part","buccal cavity","part","buccal cavity","Y","Y",""
"34","Buccal cavity large and narrow divided in two parts by a sclerotized transverse band, three teeth of which one ventrosublateral the largest.","Buccal cavity large and narrow divided in two parts by a sclerotized transverse band, three teeth of which one ventrosublateral the largest.","Buccal cavity large and narrow divided in two parts by a sclerotized transverse band, three teeth of which one ventrosublateral the largest.","band",,"band","buccal cavity","band","buccal cavity","Y","Y",""
"35","Stipe 2.5-5 x 0.5-2.5 cm, cylindrical, clavate or ventricose, often with a pointed base, solid at first, then narrowly fistulose, annulus generally median, above the annulus, white, smooth, below clearly fibrillose, towards the base often with one or two thin transverse bands, more or less complete and concolorous with the pileus.","Stipe 2.5-5 x 0.5-2.5 cm, cylindrical, clavate or ventricose, often with a pointed base, solid at first, then narrowly fistulose, annulus generally median, above the annulus, white, smooth, below clearly fibrillose, towards the base often with one or two thin transverse bands, more or less complete and concolorous with the pileus.","Stipe 2.5-5 x 0.5-2.5 cm, cylindrical, clavate or ventricose, often with a pointed base, solid at first, then narrowly fistulose, annulus generally median, above the annulus, white, smooth, below clearly fibrillose, towards the base often with one or two thin transverse bands, more or less complete and concolorous with the pileus.","base",,"base","stipe","base","stipe","Y","Y",""
"36","Stipe 2.5-5 x 0.5-2.5 cm, cylindrical, clavate or ventricose, often with a pointed base, solid at first, then narrowly fistulose, annulus generally median, above the annulus, white, smooth, below clearly fibrillose, towards the base often with one or two thin transverse bands, more or less complete and concolorous with the pileus.","Stipe 2.5-5 x 0.5-2.5 cm, cylindrical, clavate or ventricose, often with a pointed base, solid at first, then narrowly fistulose, annulus generally median, above the annulus, white, smooth, below clearly fibrillose, towards the base often with one or two thin transverse bands, more or less complete and concolorous with the pileus.","Stipe 2.5-5 x 0.5-2.5 cm, cylindrical, clavate or ventricose, often with a pointed base, solid at first, then narrowly fistulose, annulus generally median, above the annulus, white, smooth, below clearly fibrillose, towards the base often with one or two thin transverse bands, more or less complete and concolorous with the pileus.","base",,"base","stipe","base","stipe","Y","Y",""
"37","Stipe 2.5-5 x 0.5-2.5 cm, cylindrical, clavate or ventricose, often with a pointed base, solid at first, then narrowly fistulose, annulus generally median, above the annulus, white, smooth, below clearly fibrillose, towards the base often with one or two thin transverse bands, more or less complete and concolorous with the pileus.","Stipe 2.5-5 x 0.5-2.5 cm, cylindrical, clavate or ventricose, often with a pointed base, solid at first, then narrowly fistulose, annulus generally median, above the annulus, white, smooth, below clearly fibrillose, towards the base often with one or two thin transverse bands, more or less complete and concolorous with the pileus.","Stipe 2.5-5 x 0.5-2.5 cm, cylindrical, clavate or ventricose, often with a pointed base, solid at first, then narrowly fistulose, annulus generally median, above the annulus, white, smooth, below clearly fibrillose, towards the base often with one or two thin transverse bands, more or less complete and concolorous with the pileus.","band",,"band","annulus","band","stipe","Y","N",""
"38","KOH reaction negative on the pileus surface, positive in stipe base, orange-ochraceous on its surface and yellow to orange-yellow in the context.","KOH reaction negative on the pileus surface, positive in stipe base, orange-ochraceous on its surface and yellow to orange-yellow in the context.","KOH reaction negative on the pileus surface, positive in stipe base, orange-ochraceous on its surface and yellow to orange-yellow in the context.","surface","pileus","surface","pileus","surface","pileus","N","Y",""
"39","KOH reaction negative on the pileus surface, positive in stipe base, orange-ochraceous on its surface and yellow to orange-yellow in the context.","KOH reaction negative on the pileus surface, positive in stipe base, orange-ochraceous on its surface and yellow to orange-yellow in the context.","KOH reaction negative on the pileus surface, positive in stipe base, orange-ochraceous on its surface and yellow to orange-yellow in the context.","base","stipe","base","stipe","base","stipe","N","Y",""
"40","KOH reaction negative on the pileus surface, positive in stipe base, orange-ochraceous on its surface and yellow to orange-yellow in the context.","KOH reaction negative on the pileus surface, positive in stipe base, orange-ochraceous on its surface and yellow to orange-yellow in the context.","KOH reaction negative on the pileus surface, positive in stipe base, orange-ochraceous on its surface and yellow to orange-yellow in the context.","surface",,"surface","stipe","surface","pileus","Y","N",""
"41","Elytra convex oblongo navicular, covering almost the pygidium, a little wider the prothorax and slightly indented at the base, with the shoulders calloused.","Elytra convex oblongo navicular, covering almost the pygidium, a little wider the prothorax and slightly indented at the base, with the shoulders calloused.","Elytra convex oblongo navicular, covering almost the pygidium, a little wider the prothorax and slightly indented at the base, with the shoulders calloused.","base",,"base","elytron","base","elytron","Y","Y",""
"42","A single fultoportula with two or (occasionally) one satellite pores in the central area of the valve face.","A single fultoportula with two or (occasionally) one satellite pores in the central area of the valve face.","A single fultoportula with two or (occasionally) one satellite pores in the central area of the valve face.","pore",,"pore","fultoportula","pore","fultoportula","Y","Y",""
"43","A single fultoportula with two or (occasionally) one satellite pores in the central area of the valve face.","A single fultoportula with two or (occasionally) one satellite pores in the central area of the valve face.","A single fultoportula with two or (occasionally) one satellite pores in the central area of the valve face.","area","central","area","valve face central","area","valve face central","Y","Y",""
"44","A single fultoportula with two or (occasionally) one satellite pores in the central area of the valve face.","A single fultoportula with two or (occasionally) one satellite pores in the central area of the valve face.","A single fultoportula with two or (occasionally) one satellite pores in the central area of the valve face.","face","valve","face","valve","face","valve","N","Y",""
"45","One slitlike rimoportule located at the base of one of the costae.","One slitlike rimoportule located at the base of one of the costae.","One slitlike rimoportule located at the base of one of the costae.","base",,"base","costa","base","costa","Y","Y",""
"46","Stipe 4-5-12 x 0.8-1.2-1.7 cm, fistulose, straight or flexuous, equal or more or less bulbous at base, 2-3 cm, with an apical annulus, above which pinkish at first, then greyish, and below with white, appressed fibrils which may coalesce into more or less visible transversal belts;","Stipe 4-5-12 x 0.8-1.2-1.7 cm, fistulose, straight or flexuous, equal or more or less bulbous at base, 2-3 cm, with an apical annulus, above which pinkish at first, then greyish, and below with white, appressed fibrils which may coalesce into more or less visible transversal belts;","Stipe 4-5-12 x 0.8-1.2-1.7 cm, fistulose, straight or flexuous, equal or more or less bulbous at base, 2-3 cm, with an apical annulus, above which pinkish at first, then greyish, and below with white, appressed fibrils which may coalesce into more or less visible transversal belts;","base",,"base","stipe","base","stipe","Y","Y",""
"47","Stipe 4-5-12 x 0.8-1.2-1.7 cm, fistulose, straight or flexuous, equal or more or less bulbous at base, 2-3 cm, with an apical annulus, above which pinkish at first, then greyish, and below with white, appressed fibrils which may coalesce into more or less visible transversal belts;","Stipe 4-5-12 x 0.8-1.2-1.7 cm, fistulose, straight or flexuous, equal or more or less bulbous at base, 2-3 cm, with an apical annulus, above which pinkish at first, then greyish, and below with white, appressed fibrils which may coalesce into more or less visible transversal belts;","Stipe 4-5-12 x 0.8-1.2-1.7 cm, fistulose, straight or flexuous, equal or more or less bulbous at base, 2-3 cm, with an apical annulus, above which pinkish at first, then greyish, and below with white, appressed fibrils which may coalesce into more or less visible transversal belts;","belt",,"belt","stipe","belt","stipe","Y","Y",""
"48","base becoming reddish-brown with age or on drying out.","base becoming reddish-brown with age or on drying out.","base becoming reddish-brown with age or on drying out.","base",,"base","stipe","base","stipe","Y","Y",""
"49","Pileus 3-8 cm in diameter, at first globose, then hemispherical with truncate margin, finally planoconvex or shallowly depressed in the middle.","Pileus 3-8 cm in diameter, at first globose, then hemispherical with truncate margin, finally planoconvex or shallowly depressed in the middle.","Pileus 3-8 cm in diameter, at first globose, then hemispherical with truncate margin, finally planoconvex or shallowly depressed in the middle.","margin",,"margin","pileus","margin","pileus","Y","Y",""
"50","Initially entirely covered, except for a narrow whitish marginal belt, 1-2 mm broad, with radial appressed fibrils, variable in colour, typically bright reddish-brown copper, but also various shades of brown, fulvous-brown to dark-brown, almost blackish, with violaceous or purple tinges, after pileus expansion it may remain completely fibrillose, become fibrillose-squamose towards disc or squamose at disc with triangular concentrically-arranged scales and a lighter, almost white margin.","Initially entirely covered, except for a narrow whitish marginal belt, 1-2 mm broad, with radial appressed fibrils, variable in colour, typically bright reddish-brown copper, but also various shades of brown, fulvous-brown to dark-brown, almost blackish, with violaceous or purple tinges, after pileus expansion it may remain completely fibrillose, become fibrillose-squamose towards disc or squamose at disc with triangular concentrically-arranged scales and a lighter, almost white margin.","Initially entirely covered, except for a narrow whitish marginal belt, 1-2 mm broad, with radial appressed fibrils, variable in colour, typically bright reddish-brown copper, but also various shades of brown, fulvous-brown to dark-brown, almost blackish, with violaceous or purple tinges, after pileus expansion it may remain completely fibrillose, become fibrillose-squamose towards disc or squamose at disc with triangular concentrically-arranged scales and a lighter, almost white margin.","belt","marginal","belt","fibril marginal","belt","pileus marginal","Y","N",""
"51","Initially entirely covered, except for a narrow whitish marginal belt, 1-2 mm broad, with radial appressed fibrils, variable in colour, typically bright reddish-brown copper, but also various shades of brown, fulvous-brown to dark-brown, almost blackish, with violaceous or purple tinges, after pileus expansion it may remain completely fibrillose, become fibrillose-squamose towards disc or squamose at disc with triangular concentrically-arranged scales and a lighter, almost white margin.","Initially entirely covered, except for a narrow whitish marginal belt, 1-2 mm broad, with radial appressed fibrils, variable in colour, typically bright reddish-brown copper, but also various shades of brown, fulvous-brown to dark-brown, almost blackish, with violaceous or purple tinges, after pileus expansion it may remain completely fibrillose, become fibrillose-squamose towards disc or squamose at disc with triangular concentrically-arranged scales and a lighter, almost white margin.","Initially entirely covered, except for a narrow whitish marginal belt, 1-2 mm broad, with radial appressed fibrils, variable in colour, typically bright reddish-brown copper, but also various shades of brown, fulvous-brown to dark-brown, almost blackish, with violaceous or purple tinges, after pileus expansion it may remain completely fibrillose, become fibrillose-squamose towards disc or squamose at disc with triangular concentrically-arranged scales and a lighter, almost white margin.","margin",,"margin","pileus","margin","pileus","Y","Y",""
"52","S7 of male with two pairs of apical lobes narrowly connected to narrow body of sternum.","S7 of male with two pairs of apical lobes narrowly connected to narrow body of sternum.","S7 of male with two pairs of apical lobes narrowly connected to narrow body of sternum.","body",,"body","sternum","body","sternum","Y","Y",""
"53","One mandible and one tooth together form a unit, which can moved back and forth by specialized pharyngeal muscles, whereby the frontal section of the unit moved in line with the body axis.","One mandible and one tooth together form a unit, which can moved back and forth by specialized pharyngeal muscles, whereby the frontal section of the unit moved in line with the body axis.","One mandible and one tooth together form a unit, which can moved back and forth by specialized pharyngeal muscles, whereby the frontal section of the unit moved in line with the body axis.","section","frontal","section","unit frontal","section","unit frontal","Y","Y",""
"54","One mandible and one tooth together form a unit, which can moved back and forth by specialized pharyngeal muscles, whereby the frontal section of the unit moved in line with the body axis.","One mandible and one tooth together form a unit, which can moved back and forth by specialized pharyngeal muscles, whereby the frontal section of the unit moved in line with the body axis.","One mandible and one tooth together form a unit, which can moved back and forth by specialized pharyngeal muscles, whereby the frontal section of the unit moved in line with the body axis.","line",,"line",,"line",,"N","Y",""
"55","Female buccal cavity divided into two unequal portions by an anterior transverse band, ring or row of denticles;","Female buccal cavity divided into two unequal portions by an anterior transverse band, ring or row of denticles;","Female buccal cavity divided into two unequal portions by an anterior transverse band, ring or row of denticles;","cavity","buccal","cavity","buccal","cavity","buccal","N","Y",""
"56","Female buccal cavity divided into two unequal portions by an anterior transverse band, ring or row of denticles;","Female buccal cavity divided into two unequal portions by an anterior transverse band, ring or row of denticles;","Female buccal cavity divided into two unequal portions by an anterior transverse band, ring or row of denticles;","portion",,"portion","buccal cavity","portion","buccal cavity","Y","Y",""
"57","Female buccal cavity divided into two unequal portions by an anterior transverse band, ring or row of denticles;","Female buccal cavity divided into two unequal portions by an anterior transverse band, ring or row of denticles;","Female buccal cavity divided into two unequal portions by an anterior transverse band, ring or row of denticles;","band","anterior","band","buccal cavity anterior","band","buccal cavity anterior","Y","Y",""
"58","other rings, which might present faint and concentrated at the posterior end of the buccal cavity.","other rings, which might present faint and concentrated at the posterior end of the buccal cavity.","other rings, which might present faint and concentrated at the posterior end of the buccal cavity.","end","posterior","end","buccal cavity posterior","end","buccal cavity posterior","Y","Y",""
"59","other rings, which might present faint and concentrated at the posterior end of the buccal cavity.","other rings, which might present faint and concentrated at the posterior end of the buccal cavity.","other rings, which might present faint and concentrated at the posterior end of the buccal cavity.","cavity","buccal","cavity","buccal","cavity","buccal","N","Y",""
"60","Club-shaped Phymatellidae with numerous longitudinal canals on the surface of choanosomal skeleton and shallow apical cavity.","Club-shaped Phymatellidae with numerous longitudinal canals on the surface of choanosomal skeleton and shallow apical cavity.","Club-shaped Phymatellidae with numerous longitudinal canals on the surface of choanosomal skeleton and shallow apical cavity.","surface",,"surface","choanosomal skeleton","surface","choanosomal skeleton","Y","Y",""
"61","margins strongly reflexed, prominently ciliate, forming a pouchlike cavity abaxially;","margins strongly reflexed, prominently ciliate, forming a pouchlike cavity abaxially;","margins strongly reflexed, prominently ciliate, forming a pouchlike cavity abaxially;","margin",,"margin","pinnule","margin","pinnule","Y","Y",""
"62","margins strongly reflexed, prominently ciliate, forming a pouchlike cavity abaxially;","margins strongly reflexed, prominently ciliate, forming a pouchlike cavity abaxially;","margins strongly reflexed, prominently ciliate, forming a pouchlike cavity abaxially;","cavity",,"cavity","pinnule margin","cavity","pinnule","Y","N",""
"63","adaxial surface with bright-yellow waxy powder.","adaxial surface with bright-yellow waxy powder.","adaxial surface with bright-yellow waxy powder.","surface","adaxial","surface","pinnule adaxial","surface","pinnule adaxial","Y","Y",""
"64","Mandible short, pollex much broadened and rounded or subtruncate, not exceeded by mandibular apex, which a small tooth;","Mandible short, pollex much broadened and rounded or subtruncate, not exceeded by mandibular apex, which a small tooth;","Mandible short, pollex much broadened and rounded or subtruncate, not exceeded by mandibular apex, which a small tooth;","apex","mandibular","apex","mandibular","apex","mandibular","N","Y",""
"65","frons of male without cavity above antennal socket.","frons of male without cavity above antennal socket.","frons of male without cavity above antennal socket.","cavity",,"cavity","frons","cavity","frons","Y","Y",""
"66","Annulus lower surface constituted by cylindrical hyphae which frequently branched, hardly constricted at septa and 4-9 µm wide, and hyphae 9-11 µm wide, whose hyphal cells show more rounded extremities and consequently easily disarticulated.","Annulus lower surface constituted by cylindrical hyphae which frequently branched, hardly constricted at septa and 4-9 µm wide, and hyphae 9-11 µm wide, whose hyphal cells show more rounded extremities and consequently easily disarticulated.","Annulus lower surface constituted by cylindrical hyphae which frequently branched, hardly constricted at septa and 4-9 µm wide, and hyphae 9-11 µm wide, whose hyphal cells show more rounded extremities and consequently easily disarticulated.","surface","lower","surface","annulus lower","surface","annulus lower","Y","Y",""
